year,division_code,division_name,row_order,location_name,june_normal_rainfall,june_actual_rainfall,june_percent_to_normal,july_normal_rainfall,july_actual_rainfall,july_percent_to_normal,august_normal_rainfall,august_actual_rainfall,august_percent_to_normal,september_normal_rainfall,september_actual_rainfall,september_percent_to_normal
1998,5,Amravati,1,Buldhana,139.3,122.1,87.7,192.2,261.4,136.0,207.4,216.4,104.3,120.5,234.5,194.6
1998,5,Amravati,2,Akola,136.9,239.1,174.7,223.2,340.8,152.7,215.5,212.1,98.4,118.1,163.0,138.0
1998,5,Amravati,3,Washim,166.4,96.6,58.1,243.6,210.0,86.2,236.1,217.0,91.9,142.9,386.3,270.3
1998,5,Amravati,4,Amravati,145.7,144.7,99.3,277.4,215.7,77.8,285.4,173.3,60.7,153.5,172.9,112.6
1998,5,Amravati,5,Yavatmal,163.9,139.1,84.9,256.7,217.3,84.7,253.7,215.9,85.1,130.7,211.3,161.7
1998,4,Chhatrapati Sambhajinagar,1,Chhatrapati Sambhajinagar,125.2,148.0,118.2,152.2,194.6,127.9,153.8,264.5,172.0,150.5,171.0,113.6
1998,4,Chhatrapati Sambhajinagar,2,Jalna,132.6,231.0,174.2,166.4,297.6,178.8,162.3,217.0,133.7,141.8,175.8,124.0
1998,4,Chhatrapati Sambhajinagar,3,Beed,128.4,187.7,146.2,127.7,238.4,186.7,138.0,266.9,193.4,172.0,251.3,146.1
1998,4,Chhatrapati Sambhajinagar,4,Latur,135.4,134.6,99.4,186.9,316.7,169.4,202.7,225.6,111.3,181.0,300.7,166.1
1998,4,Chhatrapati Sambhajinagar,5,Dharashiv,126.9,187.3,147.6,137.1,216.2,157.7,154.4,216.5,140.2,184.7,347.1,187.9
1998,4,Chhatrapati Sambhajinagar,6,Nanded,155.4,209.5,134.8,244.3,280.4,114.8,247.3,264.5,107.0,167.4,206.4,123.3
1998,4,Chhatrapati Sambhajinagar,7,Parabhani,145.3,199.6,137.4,219.2,283.3,129.2,227.8,274.5,120.5,169.0,240.3,142.2
1998,4,Chhatrapati Sambhajinagar,8,Hingoli,169.2,205.5,121.5,230.2,244.3,106.1,241.2,208.0,86.2,154.7,281.2,181.8
1998,1,Konkan,1,Thane,461.9,309.9,67.1,942.3,651.6,69.1,691.3,648.1,93.8,337.9,670.9,198.5
1998,1,Konkan,2,Raigadh,655.8,522.5,79.7,1206.2,1035.0,85.8,874.5,840.2,96.1,412.1,590.9,143.4
1998,1,Konkan,3,Ratnagiri,813.5,820.7,100.9,1151.6,983.6,85.4,835.9,966.1,115.6,394.1,528.7,134.2
1998,1,Konkan,4,Sindhudurg,880.1,1115.9,126.8,1043.6,1181.5,113.2,689.2,748.5,108.6,327.6,486.3,148.4
1998,1,Konkan,5,Palghar,411.9,321.8,78.1,905.0,732.4,80.9,669.7,609.3,91.0,318.8,894.5,280.6
1998,6,Nagpur,1,Wardha,174.1,119.5,68.6,273.6,15.9,5.8,271.6,16.5,6.1,155.2,10.4,6.7
1998,6,Nagpur,2,Nagpur,166.3,99.6,59.9,304.4,238.9,78.5,281.3,285.9,101.6,168.4,272.0,161.5
1998,6,Nagpur,3,Bhandara,189.3,142.3,75.2,382.6,326.3,85.3,387.6,285.8,73.7,197.5,282.2,142.9
1998,6,Nagpur,4,Gondia,192.8,144.6,75.0,414.9,409.3,98.7,413.9,335.1,81.0,198.7,256.1,128.9
