District,Year,Crop,Season,Area,Production,Yield,Yield_Lag1,Yield_Lag2,Yield_3yr_Avg,Yield_3yr_Std
Ahilyanagar,1997,Arhar_Tur,Kharif,17600.0,6300.0,0.35795454545454547,0.35795454545454547,0.35795454545454547,0.35795454545454547,0.0
Ahilyanagar,1997,Bajra,Kharif,274100.0,152800.0,0.5574607807369573,0.5574607807369573,0.5574607807369573,0.5574607807369573,0.0
Ahilyanagar,1997,Gram,Kharif,40800.0,18600.0,0.45588235294117646,0.45588235294117646,0.45588235294117646,0.45588235294117646,0.0
Ahilyanagar,1997,Jowar,Kharif,900.0,1100.0,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,0.0
Ahilyanagar,1997,Jowar,Rabi,598400.0,217000.0,0.36263368983957217,0.36263368983957217,0.36263368983957217,0.36263368983957217,0.0
Ahilyanagar,1997,Maize,Autumn,1.0,1113.0,1113.0,1113.0,1113.0,1113.0,0.0
Ahilyanagar,1997,Maize,Kharif,4400.0,4700.0,1.0681818181818181,1.0681818181818181,1.0681818181818181,1.0681818181818181,0.0
Ahilyanagar,1997,Maize,Rabi,6200.0,9100.0,1.467741935483871,1.467741935483871,1.467741935483871,1.467741935483871,0.0
Ahilyanagar,1997,Maize,Summer,1100.0,1900.0,1.7272727272727273,1.7272727272727273,1.7272727272727273,1.7272727272727273,0.0
Ahilyanagar,1997,MoongGreen_Gram,Kharif,10200.0,900.0,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.0
Ahilyanagar,1997,Other_Rabi_pulses,Rabi,60.0,3.0,0.05,0.05,0.05,0.05,0.0
Ahilyanagar,1997,Pulses_total,Kharif,451.0,130.0,0.28824833702882485,0.28824833702882485,0.28824833702882485,0.28824833702882485,0.0
Ahilyanagar,1997,Ragi,Kharif,2600.0,2100.0,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.0
Ahilyanagar,1997,Rice,Kharif,5900.0,7200.0,1.2203389830508475,1.2203389830508475,1.2203389830508475,1.2203389830508475,0.0
Ahilyanagar,1997,Sugarcane,Kharif,45900.0,38940.0,0.8483660130718954,0.8483660130718954,0.8483660130718954,0.8483660130718954,0.0
Ahilyanagar,1997,Total_foodgrain,Kharif,3384.0,1836.0,0.5425531914893617,0.5425531914893617,0.5425531914893617,0.5425531914893617,0.0
Ahilyanagar,1997,Urad,Kharif,1600.0,800.0,0.5,0.5,0.5,0.5,0.0
Ahilyanagar,1997,Wheat,Rabi,79700.0,87100.0,1.0928481806775407,1.0928481806775407,1.0928481806775407,1.0928481806775407,0.0
Ahilyanagar,1998,Arhar_Tur,Kharif,18800.0,9700.0,0.5159574468085106,0.35795454545454547,0.35795454545454547,0.5159574468085106,0.0
Ahilyanagar,1998,Bajra,Kharif,302400.0,243900.0,0.8065476190476191,0.5574607807369573,0.5574607807369573,0.8065476190476191,0.0
Ahilyanagar,1998,Castor_seed,Kharif,400.0,100.0,0.25,0.25,0.25,0.25,0.0
Ahilyanagar,1998,Cottonlint,Kharif,12100.0,19900.0,1.6446280991735538,1.6446280991735538,1.6446280991735538,1.6446280991735538,0.0
Ahilyanagar,1998,Gram,Rabi,59600.0,40900.0,0.6862416107382551,0.6862416107382551,0.6862416107382551,0.6862416107382551,0.0
Ahilyanagar,1998,Groundnut,Kharif,7100.0,6200.0,0.8732394366197183,0.8732394366197183,0.8732394366197183,0.8732394366197183,0.0
Ahilyanagar,1998,Groundnut,Summer,15000.0,25700.0,1.7133333333333334,1.7133333333333334,1.7133333333333334,1.7133333333333334,0.0
Ahilyanagar,1998,Jowar,Kharif,300.0,500.0,1.6666666666666667,1.2222222222222223,1.2222222222222223,1.6666666666666667,0.0
Ahilyanagar,1998,Jowar,Rabi,453200.0,227900.0,0.5028684907325685,0.36263368983957217,0.36263368983957217,0.5028684907325685,0.0
Ahilyanagar,1998,Linseed,Rabi,1200.0,400.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Ahilyanagar,1998,Maize,Kharif,5800.0,12500.0,2.1551724137931036,1.0681818181818181,1.0681818181818181,2.1551724137931036,0.0
Ahilyanagar,1998,Maize,Rabi,7900.0,12200.0,1.5443037974683544,1.467741935483871,1.467741935483871,1.5443037974683544,0.0
Ahilyanagar,1998,Maize,Summer,1500.0,2300.0,1.5333333333333334,1.7272727272727273,1.7272727272727273,1.5333333333333334,0.0
Ahilyanagar,1998,MoongGreen_Gram,Kharif,15600.0,9100.0,0.5833333333333334,0.08823529411764706,0.08823529411764706,0.5833333333333334,0.0
Ahilyanagar,1998,Niger_seed,Kharif,2100.0,900.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0
Ahilyanagar,1998,Other_Cereals,Kharif,4100.0,2400.0,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.0
Ahilyanagar,1998,Other_Cereals,Rabi,3000.0,3700.0,1.2333333333333334,1.2333333333333334,1.2333333333333334,1.2333333333333334,0.0
Ahilyanagar,1998,Other_Kharif_pulses,Kharif,16800.0,7000.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0
Ahilyanagar,1998,Other_Rabi_pulses,Rabi,500.0,300.0,0.6,0.05,0.05,0.6,0.0
Ahilyanagar,1998,Ragi,Kharif,3000.0,2100.0,0.7,0.8076923076923077,0.8076923076923077,0.7,0.0
Ahilyanagar,1998,Rice,Kharif,5600.0,7400.0,1.3214285714285714,1.2203389830508475,1.2203389830508475,1.3214285714285714,0.0
Ahilyanagar,1998,Safflower,Rabi,30000.0,18500.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.0
Ahilyanagar,1998,Sesamum,Kharif,900.0,300.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Ahilyanagar,1998,Sesamum,Rabi,400.0,100.0,0.25,0.25,0.25,0.25,0.0
Ahilyanagar,1998,Soyabean,Kharif,4600.0,5500.0,1.1956521739130435,1.1956521739130435,1.1956521739130435,1.1956521739130435,0.0
Ahilyanagar,1998,Sugarcane,Kharif,59600.0,5231800.0,87.78187919463087,0.8483660130718954,0.8483660130718954,87.78187919463087,0.0
Ahilyanagar,1998,Sunflower,Kharif,11500.0,3500.0,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.0
Ahilyanagar,1998,Sunflower,Rabi,9200.0,5100.0,0.5543478260869565,0.5543478260869565,0.5543478260869565,0.5543478260869565,0.0
Ahilyanagar,1998,Sunflower,Summer,300.0,200.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
Ahilyanagar,1998,Urad,Kharif,2800.0,1300.0,0.4642857142857143,0.5,0.5,0.4642857142857143,0.0
Ahilyanagar,1998,Wheat,Rabi,124400.0,154200.0,1.2395498392282958,1.0928481806775407,1.0928481806775407,1.2395498392282958,0.0
Ahilyanagar,1999,Arhar_Tur,Kharif,19000.0,9900.0,0.5210526315789473,0.5159574468085106,0.35795454545454547,0.4649882079473344,0.09272887310286061
Ahilyanagar,1999,Bajra,Kharif,310600.0,178300.0,0.5740502253702511,0.8065476190476191,0.5574607807369573,0.6460195417182758,0.1392686257798288
Ahilyanagar,1999,Castor_seed,Kharif,700.0,200.0,0.2857142857142857,0.25,0.25,0.2857142857142857,0.0
Ahilyanagar,1999,Cottonlint,Kharif,15000.0,22600.0,1.5066666666666666,1.6446280991735538,1.6446280991735538,1.5066666666666666,0.0
Ahilyanagar,1999,Gram,Rabi,55300.0,34600.0,0.6256781193490054,0.6862416107382551,0.6862416107382551,0.6256781193490054,0.0
Ahilyanagar,1999,Groundnut,Kharif,7300.0,5400.0,0.7397260273972602,0.8732394366197183,0.8732394366197183,0.7397260273972602,0.0
Ahilyanagar,1999,Groundnut,Summer,14100.0,27800.0,1.9716312056737588,1.7133333333333334,1.7133333333333334,1.9716312056737588,0.0
Ahilyanagar,1999,Jowar,Kharif,800.0,700.0,0.875,1.6666666666666667,1.2222222222222223,1.2546296296296298,0.39682705026110565
Ahilyanagar,1999,Jowar,Rabi,498300.0,190900.0,0.38310254866546256,0.5028684907325685,0.36263368983957217,0.41620157641253436,0.07575030741670724
Ahilyanagar,1999,Linseed,Rabi,1100.0,300.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.0
Ahilyanagar,1999,Maize,Kharif,6400.0,9500.0,1.484375,2.1551724137931036,1.0681818181818181,1.569243077324974,0.5484424141589276
Ahilyanagar,1999,Maize,Rabi,8800.0,13900.0,1.5795454545454546,1.5443037974683544,1.467741935483871,1.53053039583256,0.05716018424659024
Ahilyanagar,1999,Maize,Summer,1700.0,2800.0,1.6470588235294117,1.5333333333333334,1.7272727272727273,1.6358882947118243,0.0974510526671891
Ahilyanagar,1999,MoongGreen_Gram,Kharif,16800.0,3700.0,0.22023809523809523,0.5833333333333334,0.08823529411764706,0.2972689075630252,0.25638023840456825
Ahilyanagar,1999,Niger_seed,Kharif,2000.0,500.0,0.25,0.42857142857142855,0.42857142857142855,0.25,0.0
Ahilyanagar,1999,Other_Kharif_pulses,Kharif,17400.0,5100.0,0.29310344827586204,0.4166666666666667,0.4166666666666667,0.29310344827586204,0.0
Ahilyanagar,1999,Other_Rabi_pulses,Rabi,1600.0,700.0,0.4375,0.6,0.05,0.3625,0.2825663638864329
Ahilyanagar,1999,Ragi,Kharif,2600.0,2500.0,0.9615384615384616,0.7,0.8076923076923077,0.8230769230769232,0.1314462114664236
Ahilyanagar,1999,Rapeseed_&Mustard,Rabi,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahilyanagar,1999,Rice,Kharif,5700.0,8000.0,1.4035087719298245,1.3214285714285714,1.2203389830508475,1.3150921088030811,0.09174914690854309
Ahilyanagar,1999,Safflower,Rabi,32200.0,16500.0,0.5124223602484472,0.6166666666666667,0.6166666666666667,0.5124223602484472,0.0
Ahilyanagar,1999,Sesamum,Kharif,900.0,200.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0
Ahilyanagar,1999,Sesamum,Rabi,400.0,100.0,0.25,0.25,0.25,0.25,0.0
Ahilyanagar,1999,Small_millets,Kharif,600.0,500.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
Ahilyanagar,1999,Small_millets,Rabi,800.0,200.0,0.25,0.25,0.25,0.25,0.0
Ahilyanagar,1999,Soyabean,Kharif,7500.0,10400.0,1.3866666666666667,1.1956521739130435,1.1956521739130435,1.3866666666666667,0.0
Ahilyanagar,1999,Sunflower,Kharif,11200.0,3900.0,0.3482142857142857,0.30434782608695654,0.30434782608695654,0.3482142857142857,0.0
Ahilyanagar,1999,Sunflower,Rabi,8800.0,5000.0,0.5681818181818182,0.5543478260869565,0.5543478260869565,0.5681818181818182,0.0
Ahilyanagar,1999,Sunflower,Summer,300.0,200.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
Ahilyanagar,1999,Urad,Kharif,3200.0,800.0,0.25,0.4642857142857143,0.5,0.4047619047619048,0.13521210347143509
Ahilyanagar,1999,Wheat,Rabi,127000.0,178800.0,1.4078740157480314,1.2395498392282958,1.0928481806775407,1.246757345217956,0.15763654492981075
Ahilyanagar,2000,Arhar_Tur,Kharif,19100.0,9400.0,0.49214659685863876,0.5210526315789473,0.5159574468085106,0.5097188917486989,0.015429821377405891
Ahilyanagar,2000,Bajra,Kharif,326100.0,187300.0,0.5743636921189819,0.5740502253702511,0.8065476190476191,0.6516538455122841,0.1341420343343666
Ahilyanagar,2000,Castor_seed,Kharif,500.0,200.0,0.4,0.2857142857142857,0.25,0.3119047619047619,0.07835467939002065
Ahilyanagar,2000,Cottonlint,Kharif,15700.0,25600.0,1.6305732484076434,1.5066666666666666,1.6446280991735538,1.5939560047492878,0.07592072256432779
Ahilyanagar,2000,Gram,Rabi,61000.0,30300.0,0.4967213114754098,0.6256781193490054,0.6862416107382551,0.6028803471875568,0.09679509166178622
Ahilyanagar,2000,Groundnut,Kharif,6800.0,6100.0,0.8970588235294118,0.7397260273972602,0.8732394366197183,0.8366747625154635,0.08480055264532811
Ahilyanagar,2000,Groundnut,Summer,11000.0,18300.0,1.6636363636363636,1.9716312056737588,1.7133333333333334,1.7828669675478188,0.16535235225334832
Ahilyanagar,2000,Jowar,Kharif,800.0,700.0,0.875,0.875,1.6666666666666667,1.138888888888889,0.45706896310845385
Ahilyanagar,2000,Jowar,Rabi,518700.0,160800.0,0.3100057836899942,0.38310254866546256,0.5028684907325685,0.39865894102934174,0.09736789486007012
Ahilyanagar,2000,Linseed,Rabi,1200.0,300.0,0.25,0.2727272727272727,0.3333333333333333,0.2853535353535353,0.04307758108391911
Ahilyanagar,2000,Maize,Kharif,7000.0,4400.0,0.6285714285714286,1.484375,2.1551724137931036,1.4227062807881774,0.7651665931134652
Ahilyanagar,2000,Maize,Rabi,14000.0,16200.0,1.1571428571428573,1.5795454545454546,1.5443037974683544,1.4269973697188887,0.23436421882749212
Ahilyanagar,2000,MoongGreen_Gram,Kharif,19400.0,8400.0,0.4329896907216495,0.22023809523809523,0.5833333333333334,0.4121870397643594,0.18243930688587245
Ahilyanagar,2000,Niger_seed,Kharif,2300.0,600.0,0.2608695652173913,0.25,0.42857142857142855,0.3131469979296066,0.10010812281601007
Ahilyanagar,2000,Other_Kharif_pulses,Kharif,19100.0,6400.0,0.33507853403141363,0.29310344827586204,0.4166666666666667,0.3482828829913141,0.06283099042960041
Ahilyanagar,2000,Other_Rabi_pulses,Rabi,600.0,200.0,0.3333333333333333,0.4375,0.6,0.45694444444444443,0.13439249455454197
Ahilyanagar,2000,Ragi,Kharif,4800.0,4300.0,0.8958333333333334,0.9615384615384616,0.7,0.8524572649572649,0.13605772376752587
Ahilyanagar,2000,Rapeseed_&Mustard,Rabi,200.0,100.0,0.5,0.0,0.0,0.5,0.0
